,Team1,Team2,date,venue,toss_winner,toss_decision,match_winner,year
449,Mumbai Indians,Chennai Super Kings,2018-04-07,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,2018
784,Delhi Daredevils,Kings XI Punjab,2018-04-08,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,field,Kings XI Punjab,2018
858,Royal Challengers Bangalore,Kolkata Knight Riders,2018-04-08,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,2018
13,Rajasthan Royals,Sunrisers Hyderabad,2018-04-09,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,2018
862,Kolkata Knight Riders,Chennai Super Kings,2018-04-10,MA Chidambaram Stadium,Chennai Super Kings,field,Chennai Super Kings,2018
672,Rajasthan Royals,Delhi Daredevils,2018-04-11,Sawai Mansingh Stadium,Delhi Daredevils,field,Rajasthan Royals,2018
79,Mumbai Indians,Sunrisers Hyderabad,2018-04-12,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,2018
338,Kings XI Punjab,Royal Challengers Bangalore,2018-04-13,M.Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,2018
460,Kolkata Knight Riders,Sunrisers Hyderabad,2018-04-14,Eden Gardens,Sunrisers Hyderabad,field,Sunrisers Hyderabad,2018
791,Mumbai Indians,Delhi Daredevils,2018-04-14,Wankhede Stadium,Delhi Daredevils,field,Delhi Daredevils,2018
168,Rajasthan Royals,Royal Challengers Bangalore,2018-04-15,M.Chinnaswamy Stadium,Royal Challengers Bangalore,field,Rajasthan Royals,2018
358,Kings XI Punjab,Chennai Super Kings,2018-04-15,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,field,Kings XI Punjab,2018
908,Kolkata Knight Riders,Delhi Daredevils,2018-04-16,Eden Gardens,Delhi Daredevils,field,Kolkata Knight Riders,2018
598,Mumbai Indians,Royal Challengers Bangalore,2018-04-17,Wankhede Stadium,Royal Challengers Bangalore,field,Mumbai Indians,2018
285,Rajasthan Royals,Kolkata Knight Riders,2018-04-18,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,2018
269,Kings XI Punjab,Sunrisers Hyderabad,2018-04-19,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,bat,Kings XI Punjab,2018
38,Chennai Super Kings,Rajasthan Royals,2018-04-20,Maharashtra Cricket Association Stadium,Rajasthan Royals,field,Chennai Super Kings,2018
203,Delhi Daredevils,Royal Challengers Bangalore,2018-04-21,M.Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,2018
402,Kolkata Knight Riders,Kings XI Punjab,2018-04-21,Eden Gardens,Kings XI Punjab,field,Kings XI Punjab,2018
658,Mumbai Indians,Rajasthan Royals,2018-04-22,Sawai Mansingh Stadium,Mumbai Indians,bat,Rajasthan Royals,2018
899,Chennai Super Kings,Sunrisers Hyderabad,2018-04-22,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,Chennai Super Kings,2018
49,Kings XI Punjab,Delhi Daredevils,2018-04-23,Arun Jaitley Stadium,Delhi Daredevils,field,Kings XI Punjab,2018
572,Sunrisers Hyderabad,Mumbai Indians,2018-04-24,Wankhede Stadium,Mumbai Indians,field,Sunrisers Hyderabad,2018
617,Royal Challengers Bangalore,Chennai Super Kings,2018-04-25,M.Chinnaswamy Stadium,Chennai Super Kings,field,Chennai Super Kings,2018
160,Sunrisers Hyderabad,Kings XI Punjab,2018-04-26,Rajiv Gandhi International Stadium,Kings XI Punjab,field,Sunrisers Hyderabad,2018
447,Delhi Daredevils,Kolkata Knight Riders,2018-04-27,Arun Jaitley Stadium,Kolkata Knight Riders,field,Delhi Daredevils,2018
846,Chennai Super Kings,Mumbai Indians,2018-04-28,Maharashtra Cricket Association Stadium,Mumbai Indians,field,Mumbai Indians,2018
803,Royal Challengers Bangalore,Kolkata Knight Riders,2018-04-29,M.Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,2018
768,Sunrisers Hyderabad,Rajasthan Royals,2018-04-29,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,2018
640,Chennai Super Kings,Delhi Daredevils,2018-04-30,Maharashtra Cricket Association Stadium,Delhi Daredevils,field,Chennai Super Kings,2018
646,Royal Challengers Bangalore,Mumbai Indians,2018-05-01,M.Chinnaswamy Stadium,Mumbai Indians,field,Royal Challengers Bangalore,2018
523,Delhi Daredevils,Rajasthan Royals,2018-05-02,Arun Jaitley Stadium,Rajasthan Royals,field,Delhi Daredevils,2018
453,Chennai Super Kings,Kolkata Knight Riders,2018-05-03,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,2018
667,Kings XI Punjab,Mumbai Indians,2018-05-04,Holkar Cricket Stadium,Mumbai Indians,field,Mumbai Indians,2018
867,Delhi Daredevils,Sunrisers Hyderabad,2018-05-05,Rajiv Gandhi International Stadium,Delhi Daredevils,bat,Sunrisers Hyderabad,2018
852,Royal Challengers Bangalore,Chennai Super Kings,2018-05-05,Maharashtra Cricket Association Stadium,Chennai Super Kings,field,Chennai Super Kings,2018
927,Mumbai Indians,Kolkata Knight Riders,2018-05-06,Wankhede Stadium,Kolkata Knight Riders,field,Mumbai Indians,2018
191,Rajasthan Royals,Kings XI Punjab,2018-05-06,Holkar Cricket Stadium,Kings XI Punjab,field,Kings XI Punjab,2018
421,Sunrisers Hyderabad,Royal Challengers Bangalore,2018-05-07,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,field,Sunrisers Hyderabad,2018
468,Rajasthan Royals,Kings XI Punjab,2018-05-08,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,2018
567,Mumbai Indians,Kolkata Knight Riders,2018-05-09,Eden Gardens,Kolkata Knight Riders,field,Mumbai Indians,2018
356,Delhi Daredevils,Sunrisers Hyderabad,2018-05-10,Arun Jaitley Stadium,Delhi Daredevils,bat,Sunrisers Hyderabad,2018
265,Chennai Super Kings,Rajasthan Royals,2018-05-11,Sawai Mansingh Stadium,Chennai Super Kings,bat,Rajasthan Royals,2018
377,Kolkata Knight Riders,Kings XI Punjab,2018-05-12,Holkar Cricket Stadium,Kings XI Punjab,field,Kolkata Knight Riders,2018
560,Delhi Daredevils,Royal Challengers Bangalore,2018-05-12,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,2018
731,Mumbai Indians,Rajasthan Royals,2018-05-13,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,2018
434,Sunrisers Hyderabad,Chennai Super Kings,2018-05-13,Maharashtra Cricket Association Stadium,Chennai Super Kings,field,Chennai Super Kings,2018
380,Kings XI Punjab,Royal Challengers Bangalore,2018-05-14,Holkar Cricket Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,2018
99,Rajasthan Royals,Kolkata Knight Riders,2018-05-15,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,2018
104,Mumbai Indians,Kings XI Punjab,2018-05-16,Wankhede Stadium,Kings XI Punjab,field,Mumbai Indians,2018
