,Team,date,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
0,Chennai Super Kings,2022/05/08,RD Gaikwad,DP Conway,S Dube,AT Rayudu,MS Dhoni,MM Ali,RV Uthappa,DJ Bravo,Simarjeet Singh,M Theekshana,Mukesh Choudhary
1,Delhi Capitals,2022/05/08,DA Warner,KS Bharat,MR Marsh,RR Pant,R Powell,RV Patel,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,KK Ahmed
2,Royal Challengers Bangalore,2014/04/24,PA Patel,YV Takawale,V Kohli,Yuvraj Singh,AB de Villiers,JA Morkel,MA Starc,AB Dinda,YS Chahal,VR Aaron,M Muralitharan
3,Kolkata Knight Riders,2014/04/24,JH Kallis,G Gambhir,MK Pandey,CA Lynn,YK Pathan,RV Uthappa,SA Yadav,R Vinay Kumar,SP Narine,M Morkel,UT Yadav
4,Punjab Kings,2022/04/25,MA Agarwal,S Dhawan,PBB Rajapaksa,LS Livingstone,JM Bairstow,JM Sharma,R Dhawan,K Rabada,RD Chahar,Arshdeep Singh,Sandeep Sharma
5,Chennai Super Kings,2022/04/25,RD Gaikwad,RV Uthappa,MJ Santner,S Dube,AT Rayudu,RA Jadeja,MS Dhoni,D Pretorius,DJ Bravo,Mukesh Choudhary,M Theekshana
6,Gujarat Lions,2016/05/03,DR Smith,BB McCullum,AJ Finch,SK Raina,KD Karthik,RA Jadeja,JP Faulkner,Ishan Kishan,P Kumar,DS Kulkarni,S Kaushik
7,Delhi Daredevils,2016/05/03,Q de Kock,RR Pant,SV Samson,JP Duminy,KK Nair,SW Billings,CH Morris,A Mishra,Mohammed Shami,Z Khan,S Nadeem
8,Rajasthan Royals,2022/05/15,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Parag,JDS Neesham,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,OC McCoy
9,Lucknow Super Giants,2022/05/15,Q de Kock,KL Rahul,A Badoni,DJ Hooda,KH Pandya,MP Stoinis,JO Holder,PVD Chameera,Mohsin Khan (2),Avesh Khan,Ravi Bishnoi
10,Gujarat Lions,2016/05/21,AJ Finch,BB McCullum,SK Raina,KD Karthik,DR Smith,RA Jadeja,DJ Bravo,ER Dwivedi,SB Jakati,P Kumar,DS Kulkarni
11,Mumbai Indians,2016/05/21,RG Sharma,MJ Guptill,N Rana,KH Pandya,JC Buttler,KA Pollard,HH Pandya,Harbhajan Singh,R Vinay Kumar,MJ McClenaghan,JJ Bumrah
12,Rajasthan Royals,2014/05/19,KK Nair,UBT Chand,SR Watson,SV Samson,KK Cooper,Ankit Sharma,STR Binny,BJ Hodge,JP Faulkner,R Bhatia,DS Kulkarni
13,Mumbai Indians,2014/05/19,MEK Hussey,LMP Simmons,KA Pollard,RG Sharma,AT Rayudu,AP Tare,Harbhajan Singh,JJ Bumrah,K Santokie,PP Ojha,S Gopal
14,Kings XI Punjab,2011/04/21,AC Gilchrist,PC Valthaty,SE Marsh,KD Karthik,AM Nayar,R McLaren,Sunny Singh,PP Chawla,RJ Harris,P Kumar,BA Bhatt
15,Rajasthan Royals,2011/04/21,SA Asnodkar,R Dravid,SR Watson,STR Binny,LRPL Taylor,AL Menaria,AS Raut,DH Yagnik,SK Warne,SW Tait,SK Trivedi
16,Chennai Super Kings,2013/04/25,MEK Hussey,M Vijay,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,CH Morris,S Badrinath,R Ashwin,JO Holder,MM Sharma
17,Sunrisers Hyderabad,2013/04/25,Q de Kock,S Dhawan,GH Vihari,CL White,A Mishra,X Thalaivan Sargunam,DJG Sammy,A Ashish Reddy,KV Sharma,DW Steyn,I Sharma
